# sorteny_fq_calibration_tsv_v1
# model	mse=c0+c1/(mod_a*lambda+mod_b)^2
# sweep	<repo>/output/checkpoints/20260613_lambda005_recalibration_audit/sweeps/canonical/sweep_results.json
# weights	<repo>/weights/encoder
# max_lambda	0.05
# q_min	64
# q_max	255
# q_baseline	204
# mod_a	884.459481
# mod_b	13.9541889
# mod_r2	1
block_y	block_x	c0	c1	r2	valid	q_baseline	q_min	q_max	max_lambda	mod_a	mod_b	mse_at_baseline
1	22	10.769504256412233	274830.5612307041	0.9973196785595798	1	204	64	255	0.05	884.4594814498472	13.954188939546285	123.69644808539495
1	23	5.681678252809007	292262.99238948675	0.9972925971562049	1	204	64	255	0.05	884.4594814498472	13.954188939546285	125.77154881546726
1	24	6.667764496371859	277088.19238986756	0.9981538487643892	1	204	64	255	0.05	884.4594814498472	13.954188939546285	120.52236129799252
1	25	6.534631912666924	289311.93583438	0.9971016433335174	1	204	64	255	0.05	884.4594814498472	13.954188939546285	125.41192336351763
1	26	17.95882851698414	274505.36958809034	0.9956586613997449	1	204	64	255	0.05	884.4594814498472	13.954188939546285	130.75215220490742
1	27	5.700982264245965	279444.37103824475	0.9951081444292235	1	204	64	255	0.05	884.4594814498472	13.954188939546285	120.52372486699164
1	28	17.775650667903847	274817.84393749124	0.9963794468250737	1	204	64	255	0.05	884.4594814498472	13.954188939546285	130.69736900431445
1	29	13.440087990887179	276744.3947489799	0.9977594105621994	1	204	64	255	0.05	884.4594814498472	13.954188939546285	127.15341950997447
1	30	7.658179569373431	273763.77367784973	0.9980204255761879	1	204	64	255	0.05	884.4594814498472	13.954188939546285	120.14678401746934
1	31	9.41018020512152	274184.4126610454	0.9964591589239685	1	204	64	255	0.05	884.4594814498472	13.954188939546285	122.07162378222442
2	0	30.95502508262328	264036.1086771587	0.9964258809850883	1	204	64	255	0.05	884.4594814498472	13.954188939546285	139.44656503323029
2	1	44.198686723210244	285764.6722354962	0.9934067851676406	1	204	64	255	0.05	884.4594814498472	13.954188939546285	161.61841961367406
2	2	57.53007366782069	323902.41476724227	0.9907310674601516	1	204	64	255	0.05	884.4594814498472	13.954188939546285	190.62047538550934
2	3	67.79595011564297	297003.8461409547	0.9901001164445398	1	204	64	255	0.05	884.4594814498472	13.954188939546285	189.8338213769718
2	4	87.15511133881387	310042.3578557989	0.9819057554648709	1	204	64	255	0.05	884.4594814498472	13.954188939546285	214.5504627633468
2	5	107.61653129168769	344967.4918834213	0.9841120005334468	1	204	64	255	0.05	884.4594814498472	13.954188939546285	249.36250162445137
2	6	183.67267693532597	411456.91517716565	0.9928927894302176	1	204	64	255	0.05	884.4594814498472	13.954188939546285	352.73892539105725
2	7	157.15170028135321	382945.5768489219	0.9775117960836405	1	204	64	255	0.05	884.4594814498472	13.954188939546285	314.50273668983345
2	8	113.01165850846348	373469.32730258466	0.9961832836365127	1	204	64	255	0.05	884.4594814498472	13.954188939546285	266.4689361754247
2	9	184.739964593392	339923.8655381061	0.9873195966467944	1	204	64	255	0.05	884.4594814498472	13.954188939546285	324.4135259973915
2	10	216.36615087106358	377784.1923982675	0.9824513810285425	1	204	64	255	0.05	884.4594814498472	13.954188939546285	371.5963919453977
2	11	70.48086671685232	344885.915482324	0.9950509462994709	1	204	64	255	0.05	884.4594814498472	13.954188939546285	212.19331758357396
2	12	44.66816292304827	284596.3116722702	0.9954691858306152	1	204	64	255	0.05	884.4594814498472	13.954188939546285	161.60782042777407
